No,Type,Group,Word Template,Template Page No,{{ substation.name_erms }},{{ substation.time }},{{ substation.date }},{{ substation.ambient }},{{ substation.humidity }},{{ swg.area }},{{ panel.linknumber }},{{ panel.name }},{{ panel.cabletype }},{{ panel.breakerstatus }},{{ panel.busbarposition }},{{ panel.loadamp }},{{ panel.heateramp }},{{ swg.serialnumber }},{{ swg.manufacturer }},{{ swg.type }},{{ swg.rating }},{{ swg.model }},{{ tx1.manufacturer }},{{ tx1.model }},{{ tx1.rating }},{{ tx1.serialnumber }},{{ tx2.manufacturer }},{{ tx2.model }},{{ tx2.rating }},{{ tx2.serialnumber }},{{ fp1.manufacturer }},{{ fp1.model }},{{ fp1.rating }},{{ fp1.serialnumber }},{{ fp1.labelsource }},{{ fp2.manufacturer }},{{ fp2.model }},{{ fp2.rating }},{{ fp2.serialnumber }},{{ fp2.labelsource }},{{ batt1.manufacturer }},{{ batt1.model }},{{ batt1.serialnumber }},{{ batt2.manufacturer }},{{ batt2.model }},{{ batt2.serialnumber }},{{ batt3.manufacturer }},{{ batt3.model }},{{ batt3.serialnumber }},{{ batt4.manufacturer }},{{ batt4.model }},{{ batt4.serialnumber }},Field Overrides,Output File Name,Attribute,Folder,Image File Name
6,Overview,1,01. swg-overview.docx,6,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,OVERVIEW SIDE (RHS),-,-,-,-,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page6,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,11.jpg
6,Overview,1,01. swg-overview.docx,6,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,OVERVIEW SIDE (RHS),-,-,-,-,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page6,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,12.jpg
7,Panel1,1,02. swg-panel.docx,7,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00326,KE P/E SEKOLAH MENENGAH RWGLET,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page7,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,13.jpg
7,Panel1,1,02. swg-panel.docx,7,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00326,KE P/E SEKOLAH MENENGAH RWGLET,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page7,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,14.jpg
8,Panel1,1,02. swg-panel.docx,8,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00326,KE P/E SEKOLAH MENENGAH RWGLET,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page8,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,15.jpg
8,Panel1,1,02. swg-panel.docx,8,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00326,KE P/E SEKOLAH MENENGAH RWGLET,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page8,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,16.jpg
9,Panel2,1,02. swg-panel.docx,9,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00323,STN.SUIS UTAMA HABU,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page9,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,17.jpg
9,Panel2,1,02. swg-panel.docx,9,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE COMPARTMENT,CCH00323,STN.SUIS UTAMA HABU,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page9,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,18.jpg
10,Panel2,1,02. swg-panel.docx,10,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00323,STN.SUIS UTAMA HABU,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page10,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,19.jpg
10,Panel2,1,02. swg-panel.docx,10,HABU HEIGHT,5:38 pm,01/06/2026,20.9,77,CABLE ENTRY,CCH00323,STN.SUIS UTAMA HABU,XLPE,CLOSE,-,-,-,365006,INDKOM,RMU SF6,11kV,ZZTT,MTM,HERMETICALLY SEAL,1000kVA,T1/129/1099/10816,,,,,ALGEBRA,J-SLOTTED,1600A,LV2895,LVDB1 TX1,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,ALGEBRA,J-SLOTTED,1600A,LV2897,LVDB2 TX1,,,LVDB2 TX1,,,{},page10,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\154. HABU HEIGHT (VI)\RAW DATA\IR,20.jpg
