No,Type,Group,Word Template,Template Page No,{{ substation.name_erms }},{{ substation.time }},{{ substation.date }},{{ substation.ambient }},{{ substation.humidity }},{{ swg.area }},{{ panel.linknumber }},{{ panel.name }},{{ panel.cabletype }},{{ panel.breakerstatus }},{{ panel.busbarposition }},{{ panel.loadamp }},{{ panel.heateramp }},{{ swg.serialnumber }},{{ swg.manufacturer }},{{ swg.type }},{{ swg.rating }},{{ swg.model }},{{ tx1.manufacturer }},{{ tx1.model }},{{ tx1.rating }},{{ tx1.serialnumber }},{{ tx2.manufacturer }},{{ tx2.model }},{{ tx2.rating }},{{ tx2.serialnumber }},{{ fp1.manufacturer }},{{ fp1.model }},{{ fp1.rating }},{{ fp1.serialnumber }},{{ fp1.labelsource }},{{ fp2.manufacturer }},{{ fp2.model }},{{ fp2.rating }},{{ fp2.serialnumber }},{{ fp2.labelsource }},{{ batt1.manufacturer }},{{ batt1.model }},{{ batt1.serialnumber }},{{ batt2.manufacturer }},{{ batt2.model }},{{ batt2.serialnumber }},{{ batt3.manufacturer }},{{ batt3.model }},{{ batt3.serialnumber }},{{ batt4.manufacturer }},{{ batt4.model }},{{ batt4.serialnumber }},Field Overrides,Output File Name,Attribute,Folder,Image File Name
1,Overview,1,01. swg-overview.docx,1,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page1,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,1.jpg
1,Overview,1,01. swg-overview.docx,1,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page1,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,2.jpg
2,Overview,1,01. swg-overview.docx,2,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW TOP,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page2,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,3.jpg
2,Overview,1,01. swg-overview.docx,2,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW TOP,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page2,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,4.jpg
3,Overview,1,01. swg-overview.docx,3,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW BOTTOM,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page3,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,5.jpg
3,Overview,1,01. swg-overview.docx,3,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW BOTTOM,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page3,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,6.jpg
4,Overview,1,01. swg-overview.docx,4,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW REAR,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page4,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,7.jpg
4,Overview,1,01. swg-overview.docx,4,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW REAR,-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page4,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,8.jpg
5,Overview,1,01. swg-overview.docx,5,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW SIDE (LHS),-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page5,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,9.jpg
5,Overview,1,01. swg-overview.docx,5,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW SIDE (LHS),-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page5,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,10.jpg
6,Overview,1,01. swg-overview.docx,6,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW SIDE (RHS),-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page6,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,11.jpg
6,Overview,1,01. swg-overview.docx,6,BERTAM VALLEY,9:20 am,02/06/2026,21,79,OVERVIEW SIDE (RHS),-,-,-,-,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page6,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,12.jpg
7,Panel1,1,02. swg-panel.docx,7,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE COMPARTMENT,CCH00420,BERTAM MEWAH,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page7,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,13.jpg
7,Panel1,1,02. swg-panel.docx,7,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE COMPARTMENT,CCH00420,BERTAM MEWAH,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page7,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,14.jpg
8,Panel1,1,02. swg-panel.docx,8,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE ENTRY,CCH00420,BERTAM MEWAH,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page8,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,15.jpg
8,Panel1,1,02. swg-panel.docx,8,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE ENTRY,CCH00420,BERTAM MEWAH,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page8,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,16.jpg
9,Panel2,1,02. swg-panel.docx,9,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE COMPARTMENT,CCH00423,CS JENSIN,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page9,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,17.jpg
9,Panel2,1,02. swg-panel.docx,9,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE COMPARTMENT,CCH00423,CS JENSIN,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page9,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,18.jpg
10,Panel2,1,02. swg-panel.docx,10,BERTAM VALLEY,9:20 am,02/06/2026,21,79,CABLE ENTRY,CCH00423,CS JENSIN,NOT ACCESSIBLE,CLOSE,-,-,-,18072222340DE,INDKOM,RMU SF6,12kV,INS24,EWT,HERMETICALLY SEAL,750kVA,EWT55674,,,,,PSB,DIN TYPE,1600A,RTLR 642-045,FP TX1,,,,,,,,,,,,,,,,,,{},page10,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\155. BERTAM VALLEY (VI)\RAW DATA\IR,19.jpg
